GID_4,NAME_3,NAME_4,pop,builtup,flood,city_corp,corp_spatial,hh_total,pop_total,hh_size,elec_coverage,area_km2,ward_no,n_fragments,pop_norm,builtup_norm,flood_norm,hh_size_norm,ASI,stress_tier
BGD.3.1.18.2_1+BGD.3.1.26.5_1,Kafrul,Ward No-14,940.4729118502389,0.42651384244996177,0.8618031702877714,DNCC,DNCC,53398.0,196759.0,3.68,99.92,1.8736234533833795,14.0,2.0,0.4878327169118157,0.7968461710235343,0.8618031702877714,0.43999999999999995,0.6303136277325733,Moderate stress
BGD.3.1.18.3_1+BGD.3.1.31.5_1+BGD.3.1.5.1_1,Cantonment,Ward No-15,272.02794580196,0.2257821413821659,0.9671629091507455,DNCC,DNCC,58526.0,222753.0,3.8,99.84,7.556283389640891,15.0,3.0,0.13999723195187685,0.4218236712140954,0.9671629091507455,0.5599999999999996,0.4598875308168298,Moderate stress
BGD.3.1.18.4_1,Kafrul,Ward No-16,433.0251356575882,0.2111023657030754,0.9653179190751446,DNCC,DNCC,36744.0,144310.0,3.92,99.96,3.8747968183282775,16.0,1.0,0.22377456360220613,0.39439777813129345,0.9653179190751446,0.6799999999999997,0.5059841256086244,Moderate stress
BGD.3.1.2.5_1+BGD.3.1.23.3_1,Badda,Ward No-17,247.21604206003778,0.3166356050515226,0.5498132919409681,DNCC,DNCC,80400.0,282695.0,3.59,99.92,7.545870276497752,17.0,2.0,0.12708598119944395,0.5915631437557073,0.5498132919409681,0.34999999999999964,0.3723335377469258,Moderate stress
BGD.3.1.14.1_1,Gulshan,Ward No-18,237.4296834685175,0.3657435030034776,0.9793103448275864,DNCC,DNCC,18050.0,63095.0,3.56,99.41,1.4166040578429155,18.0,1.0,0.12199350095114861,0.6833103194751463,0.9793103448275864,0.31999999999999984,0.4733873741672058,Moderate stress
BGD.3.1.14.2_1,Gulshan,Ward No-19,287.59618480565825,0.3325238873076762,0.9956896551724138,DNCC,DNCC,37557.0,121287.0,3.45,99.96,5.416597456269821,19.0,1.0,0.14809840144057415,0.6212468623596175,0.9956896551724138,0.20999999999999996,0.4482840871285881,Moderate stress
BGD.3.1.14.3_1+BGD.3.1.42.1_1,Gulshan,Ward No-20,417.8591549839477,0.3445380006401868,0.9637025994135405,DNCC,DNCC,34739.0,114736.0,3.42,99.97,1.9416512849688792,20.0,2.0,0.21588271534176492,0.6436925587343536,0.9637025994135405,0.17999999999999972,0.4652226099359142,Moderate stress
BGD.3.1.2.6_1,Badda,Ward No-21,416.2970172557662,0.33866256136298006,0.9950738916256158,DNCC,DNCC,25251.0,89189.0,3.59,99.9,1.5506562857727968,21.0,1.0,0.21506983326193044,0.6327156083398943,0.9950738916256158,0.34999999999999964,0.5024681220517723,Moderate stress
BGD.3.1.34.1_1,Rampura,Ward No-22,849.5819847639917,0.3484872801477018,0.9446540880503148,DNCC,DNCC,45914.0,171433.0,3.76,99.95,2.300605994425439,22.0,1.0,0.4405362432942407,0.6510709083695925,0.9446540880503148,0.5199999999999996,0.6098862298554453,Moderate stress
BGD.3.1.34.2_1,Rampura,Ward No-23,880.7579756820295,0.3775130597014924,0.4761904761904761,DNCC,DNCC,17011.0,69353.0,3.89,99.97,0.7804992968851663,23.0,1.0,0.4567591434144865,0.7052991162175587,0.4761904761904761,0.6499999999999999,0.5614285744875551,Moderate stress
BGD.3.1.42.2_1,Tejgaon Ind. Area,Ward No-37,601.8150699675249,0.3035924061433445,0.9977168949771689,DNCC,DNCC,31979.0,118586.0,3.67,99.9,2.8842573422245152,37.0,1.0,0.3116069681218216,0.5671948300611771,0.9977168949771689,0.4299999999999997,0.5364045253533656,Moderate stress
