GID_4,NAME_3,NAME_4,city_corp,ward_no,n_fragments,observed,pop_total,ASI,arrivals_low,arrivals_central,arrivals_high,load_ratio_central,asi_rank,arrival_rank,crisis_index,crisis_tier
BGD.3.1.2.1_1,Badda,Badda,,,1.0,False,,0.5831066699665928,3151,5672,7878,0.08150244995904761,0.7142857142857143,0.5042016806722689,0.42921215198442914,Moderate concern
BGD.3.1.13.2_1,Gendaria,Ward No-80 (Part),,,1.0,False,,0.5816805074931526,3151,5672,7878,0.08150244995904761,0.7058823529411765,0.5042016806722689,0.4241347211644241,Moderate concern
BGD.3.1.40.2_1,Shyampur,Ward No-87,,,1.0,False,,0.5797185675186871,3151,5672,7878,0.08150244995904761,0.6974789915966386,0.5042016806722689,0.41905729034441896,Moderate concern
BGD.3.1.13.4_1,Gendaria,Ward No-82,,,1.0,False,,0.5792046894418936,3151,5672,7878,0.08150244995904761,0.6890756302521008,0.5042016806722689,0.41397985952441385,Moderate concern
BGD.3.1.25.6_1,Lalbagh,Ward No-91,,,1.0,False,,0.5685450314531377,3151,5672,7878,0.08150244995904761,0.6722689075630253,0.5042016806722689,0.40382499788440374,Moderate concern
BGD.3.1.40.1_1,Shyampur,Ward No-83,,,1.0,False,,0.5681338336283719,3151,5672,7878,0.08150244995904761,0.6638655462184874,0.5042016806722689,0.3987475670643986,Moderate concern
BGD.3.1.17.5_1,Kadamtali,Ward No-89,,,1.0,False,,0.5645719815885581,3151,5672,7878,0.08150244995904761,0.6554621848739496,0.5042016806722689,0.3936701362443936,Moderate concern
BGD.3.1.2.6_1,Badda,Ward No-21,DNCC,21.0,1.0,True,89189.0,0.5024681220517723,4038,7269,10097,0.08150108197199206,0.4117647058823529,0.7563025210084033,0.3708216975543707,Moderate concern
BGD.3.1.16.6_1,Jatrabari,Ward No-86,,,1.0,False,,0.5537653619871316,3151,5672,7878,0.08150244995904761,0.6134453781512605,0.5042016806722689,0.3682829821443682,Moderate concern
BGD.3.1.13.3_1,Gendaria,Ward No-81,,,1.0,False,,0.5530335912456655,3151,5672,7878,0.08150244995904761,0.6050420168067226,0.5042016806722689,0.36320555132436305,Moderate concern
BGD.3.1.42.3_1+BGD.3.1.43.1_1,Tejgaon,Ward No-38,DNCC,38.0,2.0,True,109541.0,0.49278916658590666,4960,8928,12401,0.08150372919728686,0.3697478991596639,0.8235294117647058,0.36252856054836247,Moderate concern
BGD.3.1.40.3_1,Shyampur,Ward No-90,,,1.0,False,,0.5460610103617555,3151,5672,7878,0.08150244995904761,0.5882352941176471,0.5042016806722689,0.353050689684353,Moderate concern
BGD.3.1.20.1_1,Kamrangir Char,Sultanganj,,,1.0,False,,0.5399561112154647,3151,5672,7878,0.08150244995904761,0.5630252100840336,0.5042016806722689,0.3378183972243377,Moderate concern
BGD.3.1.2.3_1,Badda,Bhatara,,,1.0,False,,0.5395194638688491,3151,5672,7878,0.08150244995904761,0.5546218487394958,0.5042016806722689,0.33274096640433265,Moderate concern
BGD.3.1.37.1_1,Shah Ali,Ward No-08,DNCC,8.0,1.0,True,145193.0,0.46602697320564146,6574,11834,16437,0.08150530672966327,0.29411764705882354,0.9411764705882353,0.32935601252432933,Moderate concern
BGD.3.1.25.7_1,Lalbagh,Ward No-92,,,1.0,False,,0.5338292431531773,3151,5672,7878,0.08150244995904761,0.5378151260504201,0.5042016806722689,0.3225861047643225,Moderate concern
BGD.3.1.11.1_1+BGD.3.1.27.5_1,Dhanmondi,Ward No-47,DNCC,47.0,2.0,True,94607.0,0.47776019727728236,4284,7711,10710,0.08150559683744332,0.3445378151260504,0.7815126050420168,0.32030126089532024,Moderate concern
BGD.3.1.22.3_1,Khilgaon,Ward No-24,DSCC,24.0,1.0,True,64277.0,0.6587519409029123,2910,5239,7276,0.08150660422857321,0.8991596638655462,0.2857142857142857,0.3054920876703054,Moderate concern
BGD.3.1.19.2_1+BGD.3.1.27.6_1,Kalabagan,Ward No-51,DSCC,51.0,2.0,True,70701.0,0.4910605300045026,3201,5762,8004,0.08149814005459612,0.36134453781512604,0.7058823529411765,0.30329186764830324,Moderate concern
BGD.3.1.15.3_1,Hazaribagh,Ward No-58,DSCC,58.0,1.0,True,69593.0,0.5210773340101024,3151,5672,7878,0.08150244995904761,0.5042016806722689,0.5042016806722689,0.3022763814843022,Moderate concern
BGD.3.1.16.2_1,Jatrabari,Matuail (part),,,1.0,False,,0.5145080500741663,3151,5672,7878,0.08150244995904761,0.48739495798319327,0.5042016806722689,0.2921215198442921,Moderate concern
BGD.3.1.14.3_1+BGD.3.1.42.1_1,Gulshan,Ward No-20,DNCC,20.0,2.0,True,114736.0,0.4652226099359142,5195,9352,12989,0.0815088551108632,0.2857142857142857,0.8403361344537815,0.28535161208428533,Moderate concern
BGD.3.1.4.2_1+BGD.3.1.46.1_1,Biman Bandar,Ward No-01,DNCC,1.0,2.0,True,119514.0,0.46320097152008377,5412,9741,13530,0.08150509563733119,0.2773109243697479,0.865546218487395,0.28526698823728525,Moderate concern
BGD.3.1.18.3_1+BGD.3.1.31.5_1+BGD.3.1.5.1_1,Cantonment,Ward No-15,DNCC,15.0,3.0,True,222753.0,0.4598875308168298,10087,18157,25218,0.08151180904409817,0.24369747899159663,0.9831932773109243,0.28475924515528467,Moderate concern
BGD.3.1.16.1_1,Jatrabari,Dhania(part),,,1.0,False,,0.511379166302148,3151,5672,7878,0.08150244995904761,0.47058823529411764,0.5042016806722689,0.2819666582042819,Moderate concern
BGD.3.1.9.3_1,Demra,Saralia,,,1.0,False,,0.5107010284060245,3151,5672,7878,0.08150244995904761,0.46218487394957986,0.5042016806722689,0.27688922738427685,Moderate concern
BGD.3.1.6.2_1,Chak Bazar,Ward No-64,DSCC,64.0,1.0,True,57231.0,0.7525007122479992,2591,4665,6479,0.08151176809770928,0.9831932773109243,0.23529411764705882,0.2748582550562748,Moderate concern
