GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood
BGD.3.1.1.1_1,Dhaka,Adabor,Ward No-43,806.0263661168439,0.42921193865030677,0.8979591836734694
BGD.3.1.1.2_1,Dhaka,Adabor,Ward No-46,903.248519444808,0.39697846889952154,0.7169811320754718
BGD.3.1.2.1_1,Dhaka,Badda,Badda,731.0169301068607,0.341654255248692,0.8326572008113592
BGD.3.1.2.2_1,Dhaka,Badda,Beraid,107.2789983526918,0.034489031596079696,0.9743710322125557
BGD.3.1.2.3_1,Dhaka,Badda,Bhatara,689.6443995683449,0.2525293779938011,0.9258684863523575
BGD.3.1.2.4_1,Dhaka,Badda,Satarkul,180.89735914441152,0.03325254201334056,0.9663259170174389
BGD.3.1.2.5_1,Dhaka,Badda,Ward No-17 (Part),363.9541883276231,0.3907141165882026,0.24448897795591182
BGD.3.1.2.6_1,Dhaka,Badda,Ward No-21,416.2970172557662,0.3386625613629801,0.9950738916256158
BGD.3.1.3.1_1,Dhaka,Bangshal,Ward No-63 (Part),1198.7332164898794,0.4750379403794037,
BGD.3.1.3.2_1,Dhaka,Bangshal,Ward No-66 (Part),716.2814121997264,0.3017220472440945,1.0
BGD.3.1.3.3_1,Dhaka,Bangshal,Ward No-67 (part),1040.3577946368312,0.4958383507853403,
BGD.3.1.3.4_1,Dhaka,Bangshal,Ward No-68 (part),1148.910685536293,0.49280495356037146,0.0
BGD.3.1.3.5_1,Dhaka,Bangshal,Ward No-69,1526.113882512792,0.535252421307506,
BGD.3.1.3.6_1,Dhaka,Bangshal,Ward No-70,1924.7187894505382,0.3866835761589404,
BGD.3.1.3.7_1,Dhaka,Bangshal,Ward No-71 (Part),1245.8289369491977,0.4350477006311993,0.0
BGD.3.1.4.1_1,Dhaka,Biman Bandar,Dakshinkhan (part),107.3020732241385,0.2767266159338595,0.8295454545454545
BGD.3.1.4.2_1,Dhaka,Biman Bandar,Ward No-01,12.651576531116783,0.38990661538461546,0.6666666666666666
BGD.3.1.4.3_1,Dhaka,Biman Bandar,Ward No-98 (rest. Area),5.266141739996264,0.06920772283643135,0.9283582089552239
BGD.3.1.5.1_1,Dhaka,Cantonment,Ward No-15 (part),157.95976595412804,0.19689503017153698,0.9788461538461539
BGD.3.1.5.2_1,Dhaka,Cantonment,Ward No-98 (Rest. Area),203.4217511856937,0.16233144920755588,0.9642147117296224
BGD.3.1.6.1_1,Dhaka,Chak Bazar,Ward No-63 (Part),1314.6183714124893,0.36013798611111114,
BGD.3.1.6.2_1,Dhaka,Chak Bazar,Ward No-64,1511.6390456854128,0.4460062745098039,
BGD.3.1.6.3_1,Dhaka,Chak Bazar,Ward No-65,687.4464124435757,0.4083803534730784,0.9866666666666667
BGD.3.1.6.4_1,Dhaka,Chak Bazar,Ward No-66 (Part),661.5951619395747,0.3640249134948097,1.0
BGD.3.1.6.5_1,Dhaka,Chak Bazar,Ward No-67 (Part),1167.3173192703707,0.4081622432859401,
BGD.3.1.7.1_1,Dhaka,Dakshinkhan,Dakshinkhan (Part),235.6195920400544,0.3007861800378327,0.8656609195402302
BGD.3.1.8.1_1,Dhaka,Darus Salam,Ward No-09,267.47564556136905,0.22231884518461706,0.9456106870229007
BGD.3.1.8.2_1,Dhaka,Darus Salam,Ward No-10,322.6992011995866,0.23325552456033957,0.9675516224188792
BGD.3.1.9.1_1,Dhaka,Demra,Demra (part),75.37205927517574,0.07468517641773505,0.8945294741627521
BGD.3.1.9.2_1,Dhaka,Demra,Matuail (part),415.99886073012584,0.29064753609901434,0.7886178861788619
BGD.3.1.9.3_1,Dhaka,Demra,Saralia,292.1834401498169,0.31048460484783497,0.9899274778404513
BGD.3.1.10.1_1,Dhaka,Dhamrai,Amta,10.172251737838533,0.024921720518005404,0.26356589147286874
BGD.3.1.10.2_1,Dhaka,Dhamrai,Baisakanda,8.194361254926648,0.025799902523424838,0.0
BGD.3.1.10.3_1,Dhaka,Dhamrai,Balia,9.513258048396674,0.03245699378297743,0.01838235294117651
BGD.3.1.10.4_1,Dhaka,Dhamrai,Bhararia,13.270500004413568,0.04166319758672699,0.4181146025878013
BGD.3.1.10.5_1,Dhaka,Dhamrai,Chauhat,8.433125051131434,0.02077615506941162,0.38489646772229064
BGD.3.1.10.6_1,Dhaka,Dhamrai,Dhamrai,27.989502597802446,0.05771858712212331,0.5499697153240465
BGD.3.1.10.7_1,Dhaka,Dhamrai,Dhamrai Paurashava,73.88292153115454,0.17599952595585946,0.7470039946737687
BGD.3.1.10.8_1,Dhaka,Dhamrai,Gangutia,13.064076940216685,0.04929344130981557,0.05728314238952547
BGD.3.1.10.9_1,Dhaka,Dhamrai,Jadabpur,9.063574016032714,0.02273496182159023,0.032051282051282125
BGD.3.1.10.10_1,Dhaka,Dhamrai,Kulla,16.47383779892088,0.030434202855653715,0.3802698145025302
BGD.3.1.10.11_1,Dhaka,Dhamrai,Kushura,9.78020577002476,0.03364963969865705,0.0
BGD.3.1.10.12_1,Dhaka,Dhamrai,Nannar,12.652308064062643,0.027668055593554224,0.05217391304347841
BGD.3.1.10.13_1,Dhaka,Dhamrai,Rowail,9.010020281854816,0.032037948251573696,0.1615720524017471
BGD.3.1.10.14_1,Dhaka,Dhamrai,Sanora,14.359066456580239,0.031168120492258006,0.09873060648801149
BGD.3.1.10.15_1,Dhaka,Dhamrai,Sombhag,20.896741080812728,0.05235697112430882,0.16995768688293414
BGD.3.1.10.16_1,Dhaka,Dhamrai,Suapur,10.440488448723343,0.028705445794178316,0.0
BGD.3.1.10.17_1,Dhaka,Dhamrai,Suti Para,22.99805767039784,0.051526734059819154,0.08285862247540156
BGD.3.1.11.1_1,Dhaka,Dhanmondi,Ward No-47 (Part),615.4775744279224,0.4229566406249998,
BGD.3.1.11.2_1,Dhaka,Dhanmondi,Ward No-48 (Part),547.3589272692655,0.44845254431103476,0.9411764705882353
BGD.3.1.11.3_1,Dhaka,Dhanmondi,Ward No-49,552.4880544963975,0.37956943744752314,1.0
BGD.3.1.12.1_1,Dhaka,Dohar,Bilaspur,26.156316013458728,0.04990661574799674,0.9020256304257959
BGD.3.1.12.2_1,Dhaka,Dohar,Dohar Paurashava,43.78504882856187,0.08684242639911127,0.17085427135678422
BGD.3.1.12.3_1,Dhaka,Dohar,Kushumhati,13.375609804337675,0.0450730795444688,0.8352586639879459
BGD.3.1.12.4_1,Dhaka,Dohar,Mahmudpur,15.0221618887624,1.9064526647585238e-05,0.9999497062847026
BGD.3.1.12.5_1,Dhaka,Dohar,Muksudpur,33.355366576800755,0.03842224048814441,0.9875540416612077
BGD.3.1.12.6_1,Dhaka,Dohar,Narisha,30.256314561673086,0.04978416793059512,0.9859629421673215
BGD.3.1.12.7_1,Dhaka,Dohar,Nayabari,9.019315206721473,0.02042753033704073,0.983889085015565
BGD.3.1.12.8_1,Dhaka,Dohar,Roypara,20.414498400166153,0.0545725295485371,0.0
BGD.3.1.12.9_1,Dhaka,Dohar,Sutar Para,27.817540220088667,0.04933098291508672,0.5884900990099016
BGD.3.1.13.1_1,Dhaka,Gendaria,Ward No-76 (Part),732.8796830047482,0.35761033687125054,1.0
BGD.3.1.13.2_1,Dhaka,Gendaria,Ward No-80 (Part),699.7464627352628,0.2854481060606061,1.0
BGD.3.1.13.3_1,Dhaka,Gendaria,Ward No-81,524.0318367739758,0.4250124623493976,0.6666666666666666
